,company,Date,Open,High,Low,Close,No. of Shares
0,ABB,2024-07-23,7730.0498,7814.0000,7067.7998,7502.9502,10479
1,ABB,2024-07-22,7501.1001,7753.4502,7447.7002,7709.2998,4913
2,ABB,2024-07-19,7895.6499,7907.0498,7602.2998,7619.0000,14610
3,ABB,2024-07-18,8185.0498,8246.0498,7720.0000,7895.6499,25686
4,ABB,2024-07-16,8299.8500,8299.8500,8181.0000,8234.1000,1787
5,ABB,2024-07-15,8220.6000,8263.2000,8113.5500,8249.3500,4041
6,ABB,2024-07-12,8454.4502,8469.4502,8195.0000,8207.4502,12595
7,ABB,2024-07-11,8598.9502,8598.9502,8430.0000,8454.4502,4730
8,ABB,2024-07-10,8505.0498,8611.3496,8385.4502,8544.7500,3266
9,ABB,2024-07-09,8560.0498,8715.9004,8554.7500,8572.4502,3824
10,ABB,2024-07-08,8682.0996,8688.3496,8494.1504,8558.8496,7430
11,ABB,2024-07-05,8701.7002,8708.5498,8607.7998,8680.8496,3315
12,ABB,2024-07-04,8669.0000,8809.0000,8584.0498,8708.3496,15882
13,ABB,2024-07-03,8528.0000,8650.0000,8528.0000,8614.9004,9102
14,ABB,2024-07-02,8580.2998,8666.5996,8410.0498,8514.5000,5913
15,ABB,2024-07-01,8515.9502,8640.0000,8458.1504,8581.7002,12215
16,ABB,2024-06-28,8710.0000,8710.0000,8440.0000,8492.5996,8282
17,ABB,2024-06-27,8343.7500,8689.0000,8332.8496,8636.0000,15611
18,ABB,2024-06-26,8439.9502,8439.9502,8228.8496,8390.9502,8706
19,ABB,2024-06-25,8463.0498,8598.7500,8384.0000,8400.2998,3644
20,ABB,2024-06-24,8424.9502,8564.5996,8278.0996,8459.4004,6976
21,ABB,2024-06-21,8564.2998,8642.2002,8363.9502,8397.2500,9622
22,ABB,2024-06-20,8560.0498,8660.0000,8391.5996,8542.9004,7129
23,ABB,2024-06-19,8919.0500,8919.0500,8520.0000,8541.4500,13403
24,ABB,2024-06-18,9200.0000,9200.0000,8796.6500,8866.3000,17222
25,ABB,2024-06-14,8450.2500,9143.9500,8450.2500,9021.8500,36714
26,ABB,2024-06-13,8379.4500,8488.1000,8320.6500,8443.0000,7214
27,ABB,2024-06-12,8174.8500,8321.0000,8126.2500,8280.6000,13262
28,ABB,2024-06-11,8133.6000,8332.9500,8070.3500,8099.7500,8179
29,ABB,2024-06-10,8190.9000,8193.4000,7996.3500,8054.6000,4315
30,ABB,2024-06-07,8000.8000,8098.4500,7918.4500,8071.7000,9131
31,ABB,2024-06-06,7837.4000,8146.0000,7818.0000,7987.8000,15915
32,ABB,2024-06-05,7822.3000,7897.0000,7239.7500,7814.5000,23196
33,ABB,2024-06-04,8817.9500,8817.9500,6989.7500,7668.8500,38778
34,ABB,2024-06-03,8597.9000,8766.6000,8398.0000,8724.7000,13974
35,ABB,2024-05-31,8349.6500,8349.6500,8170.0000,8316.8500,3876
36,ABB,2024-05-30,8120.0500,8284.6000,8111.0000,8255.0500,4339
37,ABB,2024-05-29,8120.2000,8247.1000,8120.2000,8197.7500,5423
38,ABB,2024-05-28,8339.8500,8352.6000,8158.8500,8232.9000,7902
39,ABB,2024-05-27,8549.1500,8549.1500,8267.8500,8396.0500,5691
40,ABB,2024-05-24,8430.2000,8505.0000,8381.0500,8417.7000,3256
41,ABB,2024-05-23,8460.0000,8489.9000,8366.5000,8417.6000,4389
42,ABB,2024-05-22,8584.8500,8590.0000,8383.9500,8409.8500,15273
43,ABB,2024-05-21,8415.3500,8600.0000,8350.0000,8571.3500,9270
44,ABB,2024-05-17,8308.4000,8403.6500,8236.4000,8375.5500,24087
45,ABB,2024-05-16,8124.9500,8375.0000,8036.0000,8308.9000,29723
46,ABB,2024-05-15,8080.7500,8132.0500,7965.0000,8082.1500,25190
47,ABB,2024-05-14,8042.5000,8117.5000,7914.2000,8081.9500,34654
48,ABB,2024-05-13,7555.0000,8025.0000,7408.9000,7983.8000,150010
49,ABB,2024-05-10,7032.9000,7205.0000,7032.9000,7182.1500,20666
50,ABB,2024-05-09,7191.8500,7200.0000,6959.5500,6989.1000,19966
51,ABB,2024-05-08,6900.8000,7215.0000,6805.0000,7190.0500,14090
52,ABB,2024-05-07,6969.9500,7035.0000,6830.0000,6887.8500,18192
53,ABB,2024-05-06,6700.0500,7025.0000,6700.0500,6942.3000,35234
54,ABB,2024-05-03,6729.0000,6788.8000,6634.4000,6698.7500,9821
55,ABB,2024-05-02,6591.6500,6747.7000,6550.0000,6679.3500,15550
56,ABB,2024-04-30,6476.0000,6642.8500,6466.0000,6542.3500,9130
57,ABB,2024-04-29,6499.3000,6499.3000,6350.0000,6451.7000,5564
58,ABB,2024-04-26,6455.5000,6488.8500,6376.8500,6409.0500,8238
59,ABB,2024-04-25,6358.0500,6462.5000,6348.2500,6435.4500,9993
60,ABB,2024-04-24,6398.7000,6398.7000,6303.0000,6342.9500,15160
61,ABB,2024-04-23,6545.4000,6564.8500,6293.8000,6307.6000,15934
62,ABB,2024-04-22,6396.5500,6544.3000,6318.8000,6526.1500,16515
63,ABB,2024-04-19,6350.4500,6368.8500,6247.4500,6291.2000,14340
64,ABB,2024-04-18,6644.8000,6650.4000,6304.4000,6367.2000,43130
65,ABB,2024-04-16,6563.0500,6665.9500,6522.0000,6647.2000,7248
66,ABB,2024-04-15,6748.9500,6748.9500,6546.0500,6559.9500,7649
67,ABB,2024-04-12,6664.9000,6770.2000,6642.0000,6749.4000,17579
68,ABB,2024-04-10,6649.9500,6666.0000,6567.7500,6637.4500,4559
69,ABB,2024-04-09,6715.0000,6721.7000,6501.3500,6527.5500,5614
70,ABB,2024-04-08,6666.0500,6746.8500,6628.6500,6697.0500,5911
71,ABB,2024-04-05,6500.8500,6680.0000,6500.8500,6665.9000,11258
72,ABB,2024-04-04,6619.9500,6620.0000,6489.0500,6500.2000,9142
73,ABB,2024-04-03,6510.6500,6522.4000,6432.2500,6505.4000,7550
74,ABB,2024-04-02,6508.8000,6538.0000,6371.4000,6429.1500,10911
75,ABB,2024-04-01,6400.6500,6569.8000,6400.6500,6508.3500,14574
76,ABB,2024-03-28,6270.4000,6470.0000,6225.3500,6363.3000,20461
77,ABB,2024-03-27,6198.8500,6341.0000,6094.0000,6279.7500,38647
78,ABB,2024-03-26,5871.5000,5984.8000,5871.5000,5931.9000,6532
79,ABB,2024-03-22,5865.3500,6020.9500,5834.1500,5965.3500,22855
80,ABB,2024-03-21,5779.5500,5878.7000,5756.2000,5865.3500,5362
81,ABB,2024-03-20,5655.5500,5770.0000,5560.0500,5730.7000,8134
82,ABB,2024-03-19,5790.0000,5790.0000,5612.0000,5629.8500,4929
83,ABB,2024-03-18,5655.0000,5784.9500,5625.0000,5764.3000,7888
84,ABB,2024-03-15,5642.3500,5790.9000,5586.2500,5626.3000,20522
85,ABB,2024-03-14,5580.0500,5660.0000,5522.5000,5639.3000,5493
86,ABB,2024-03-13,5700.2500,5812.7500,5573.5500,5591.7500,9929
