Date,Open,High,Low,Close,Adj Close,No. of Shares
2019-01-01,2641.050048828125,2661.60009765625,2613.5,2656.199951171875,2607.397216796875,58530
2019-01-02,2646.800048828125,2662.0,2605.0,2616.5,2568.426513671875,94235
2019-01-03,2615.0,2648.0,2575.949951171875,2587.949951171875,2540.401123046875,78983
2019-01-04,2587.949951171875,2612.0,2564.85009765625,2579.25,2531.86083984375,63791
2019-01-07,2590.0,2605.0,2546.60009765625,2552.64990234375,2505.749755859375,45801
2019-01-08,2545.050048828125,2581.949951171875,2526.5,2535.050048828125,2488.472900390625,368431
2019-01-09,2550.0,2558.5,2510.0,2525.10009765625,2478.706298828125,75209
2019-01-10,2539.949951171875,2541.699951171875,2505.0,2515.85009765625,2469.6259765625,59332
2019-01-11,2537.050048828125,2537.10009765625,2487.60009765625,2511.0,2464.865234375,3865033
2019-01-14,2515.0,2551.550048828125,2484.550048828125,2540.75,2494.068603515625,72378
2019-01-15,2558.0,2608.0,2552.25,2599.25,2551.493408203125,101538
2019-01-16,2594.0,2610.0,2564.0,2572.949951171875,2525.677001953125,52710
2019-01-17,2587.949951171875,2587.949951171875,2525.0,2535.60009765625,2489.01318359375,50070
2019-01-18,2549.0,2554.35009765625,2526.64990234375,2540.85009765625,2494.166748046875,39500
2019-01-21,2544.949951171875,2604.800048828125,2527.25,2588.89990234375,2541.333740234375,86924
2019-01-22,2587.949951171875,2634.85009765625,2575.85009765625,2616.64990234375,2568.57373046875,84631
2019-01-23,2637.0,2651.39990234375,2610.60009765625,2633.050048828125,2584.673095703125,48462
2019-01-24,2633.5,2650.5,2602.050048828125,2631.5,2583.151123046875,101254
2019-01-25,2644.0,2659.35009765625,2585.0,2596.35009765625,2548.646728515625,48357
2019-01-28,2601.199951171875,2604.75,2360.949951171875,2456.199951171875,2411.07177734375,191781
2019-01-29,2469.89990234375,2569.949951171875,2380.0,2511.89990234375,2465.748291015625,686904
2019-01-30,2572.199951171875,2623.0,2547.050048828125,2596.35009765625,2548.646728515625,209737
2019-01-31,2614.0,2614.0,2527.75,2570.35009765625,2523.124755859375,115229
2019-02-01,2598.0,2684.35009765625,2580.35009765625,2627.550048828125,2579.27392578125,135179
2019-02-04,2635.0,2635.0,2573.0,2594.050048828125,2546.389404296875,95067
2019-02-05,2595.25,2642.0,2595.199951171875,2602.14990234375,2554.340087890625,67486
2019-02-06,2610.0,2720.0,2610.0,2707.64990234375,2657.90185546875,101601
2019-02-07,2709.10009765625,2732.5,2684.10009765625,2697.699951171875,2648.134765625,138048
2019-02-08,2695.10009765625,2735.10009765625,2674.75,2704.35009765625,2654.662841796875,77090
2019-02-11,2725.0,2725.0,2630.5,2652.5,2603.76513671875,326814
2019-02-12,2662.25,2676.39990234375,2616.0,2623.60009765625,2575.396240234375,82686
2019-02-14,2589.949951171875,2620.75,2559.60009765625,2607.14990234375,2559.248291015625,76941
2019-02-15,2631.0,2631.0,2508.0,2557.5,2510.5107421875,86481
2019-02-18,2555.0,2559.550048828125,2513.0,2545.949951171875,2499.172607421875,35787
2019-02-19,2551.25,2605.050048828125,2550.0,2559.300048828125,2512.277587890625,51419
2019-02-20,2576.89990234375,2609.0,2575.0,2600.85009765625,2553.064453125,42663
2019-02-21,2621.800048828125,2660.0,2595.0,2653.050048828125,2604.305419921875,69611
2019-02-22,2659.949951171875,2674.39990234375,2631.0,2641.050048828125,2592.525634765625,114316
2019-02-25,2645.5,2675.0,2615.0,2659.800048828125,2610.931396484375,42762
2019-02-26,2645.0,2678.0,2600.0,2652.75,2604.0107421875,70983
2019-02-27,2658.0,2695.0,2625.0,2641.39990234375,2592.869384765625,59349
2019-02-28,2655.64990234375,2660.699951171875,2631.0,2647.39990234375,2598.759033203125,25333
2019-03-01,2662.800048828125,2673.89990234375,2643.10009765625,2663.39990234375,2614.464599609375,37522
2019-03-05,2664.949951171875,2707.0,2646.800048828125,2694.199951171875,2644.69921875,38063
2019-03-06,2710.0,2769.0,2702.300048828125,2764.199951171875,2713.412841796875,77992
2019-03-07,2777.0,2779.949951171875,2727.0,2735.800048828125,2685.534912109375,42122
2019-03-08,2734.800048828125,2777.25,2718.550048828125,2766.64990234375,2715.818115234375,61989
2019-03-11,2770.0,2805.60009765625,2769.949951171875,2790.10009765625,2738.837158203125,66121
2019-03-12,2815.0,2815.0,2745.0,2753.75,2703.15478515625,79600
2019-03-13,2796.0,2835.0,2750.25,2826.199951171875,2774.27392578125,92610
2019-03-14,2826.0,2833.199951171875,2789.0,2808.75,2757.144775390625,43350
2019-03-15,2808.75,2894.0,2808.75,2859.699951171875,2807.158447265625,72098
2019-03-18,2864.0,2941.0,2847.60009765625,2926.050048828125,2872.289306640625,67599
2019-03-19,2933.0,2962.0,2910.449951171875,2921.64990234375,2867.97021484375,76379
2019-03-20,2921.64990234375,2934.5,2860.0,2872.25,2819.4775390625,59208
2019-03-22,2884.0,2897.949951171875,2820.0,2836.85009765625,2784.728271484375,64883
2019-03-25,2823.699951171875,2865.0,2800.0,2852.85009765625,2800.433837890625,55424
2019-03-26,2856.300048828125,2939.0,2856.300048828125,2930.39990234375,2876.55908203125,110362
2019-03-27,2957.0,3009.0,2931.050048828125,2942.64990234375,2888.584228515625,117256
2019-03-28,2943.0,2996.0,2942.0,2989.64990234375,2934.720458984375,73432
2019-04-01,3027.5,3045.0,2986.449951171875,3001.550048828125,2946.402099609375,61794
2019-04-02,3005.0,3070.300048828125,3000.050048828125,3049.699951171875,2993.667724609375,60518
2019-04-03,3062.199951171875,3088.0,3034.35009765625,3042.10009765625,2986.207275390625,64621
2019-04-04,3050.0,3065.10009765625,3018.5,3041.699951171875,2985.814208984375,48583
2019-04-05,3031.199951171875,3120.0,3031.199951171875,3108.550048828125,3051.436279296875,73053
2019-04-08,3120.0,3131.89990234375,3022.800048828125,3028.800048828125,2973.1513671875,70374
2019-04-09,3020.0,3051.0,2978.0,3014.199951171875,2958.81982421875,180224
2019-04-10,3020.0,3036.449951171875,2990.25,3002.0,2946.843994140625,45392
2019-04-11,3002.75,3053.550048828125,2993.25,3048.800048828125,2992.7841796875,51350
2019-04-12,3057.89990234375,3060.85009765625,3001.050048828125,3007.10009765625,2951.85009765625,49769
2019-04-15,3030.0,3035.89990234375,3004.949951171875,3022.550048828125,2967.0166015625,415959
2019-04-16,3022.550048828125,3057.0,3020.0,3031.39990234375,2975.70361328125,445457
2019-04-18,3059.949951171875,3059.949951171875,2995.5,3013.800048828125,2958.427001953125,30665
2019-04-22,3022.949951171875,3022.949951171875,2974.949951171875,2991.449951171875,2936.487548828125,30771
2019-04-23,2983.550048828125,3056.5,2983.550048828125,3035.5,2979.728271484375,58888
2019-04-24,3048.89990234375,3100.0,3032.0,3092.0,3035.1904296875,57820
2019-04-25,3085.0,3114.89990234375,3072.699951171875,3080.550048828125,3023.950927734375,37712
2019-04-26,3075.0,3100.050048828125,3046.0,3091.39990234375,3034.601318359375,40431
2019-04-30,3085.14990234375,3105.0,3042.699951171875,3094.25,3037.39892578125,45571
2019-05-02,3099.60009765625,3146.89990234375,3060.0,3129.14990234375,3071.657470703125,40339
2019-05-03,3133.699951171875,3162.35009765625,3099.60009765625,3109.25,3052.123291015625,77658
2019-05-06,3079.0,3093.0,3027.699951171875,3036.800048828125,2981.00439453125,42729
2019-05-07,3055.199951171875,3068.699951171875,3011.550048828125,3019.25,2963.777099609375,43412
2019-05-08,3017.699951171875,3017.699951171875,2895.300048828125,2921.89990234375,2868.21533203125,58665
2019-05-09,2904.699951171875,2991.10009765625,2884.89990234375,2969.85009765625,2915.284423828125,76103
2019-05-10,2980.0,2995.0,2902.25,2921.449951171875,2867.77392578125,77614
2019-05-13,2921.0,2955.89990234375,2908.60009765625,2928.550048828125,2874.7431640625,51402
2019-05-14,2925.0,2941.949951171875,2849.199951171875,2884.050048828125,2831.06103515625,77779
2019-05-15,2929.949951171875,3020.0,2873.0,3002.550048828125,2947.3837890625,157706
2019-05-16,3006.5,3131.5,3006.5,3111.800048828125,3054.626708984375,339669
2019-05-17,3144.0,3314.949951171875,3125.0,3301.199951171875,3240.546630859375,303721
2019-05-20,3399.85009765625,3442.85009765625,3340.0,3406.699951171875,3344.1083984375,160955
2019-05-21,3415.35009765625,3484.89990234375,3371.550048828125,3432.64990234375,3369.581298828125,167340
2019-05-22,3433.050048828125,3457.800048828125,3397.550048828125,3447.699951171875,3384.354736328125,92169
2019-05-23,3529.0,3529.0,3355.550048828125,3377.949951171875,3315.88671875,121951
2019-05-24,3399.0,3475.0,3391.10009765625,3466.14990234375,3402.4658203125,98479
2019-05-27,3450.199951171875,3488.14990234375,3435.0,3447.5,3384.15869140625,48490
2019-05-28,3455.0,3472.89990234375,3390.0,3412.35009765625,3349.654296875,56292
2019-05-29,3424.0,3433.89990234375,3390.0,3410.25,3347.5927734375,48586
2019-05-30,3410.0,3486.89990234375,3402.199951171875,3480.75,3416.797607421875,68848
2019-05-31,3508.0,3534.800048828125,3454.0,3469.699951171875,3405.95068359375,169297
2019-06-03,3465.0,3529.949951171875,3465.0,3510.75,3446.246337890625,85822
2019-06-04,3510.050048828125,3547.39990234375,3510.050048828125,3532.550048828125,3467.64599609375,68195
2019-06-06,3535.0,3540.0,3445.0,3452.89990234375,3389.458984375,101981
2019-06-07,3468.0,3519.949951171875,3420.199951171875,3511.39990234375,3446.884521484375,73701
2019-06-10,3540.0,3555.0,3508.0,3520.89990234375,3456.209716796875,59450
2019-06-11,3522.0,3564.0,3511.75,3547.5,3482.321044921875,56277
2019-06-12,3550.0,3550.0,3485.0,3510.10009765625,3445.608642578125,76534
2019-06-13,3514.949951171875,3550.0,3498.39990234375,3542.85009765625,3477.7568359375,48729
2019-06-14,3550.0,3566.0,3500.0,3519.800048828125,3455.1298828125,99206
2019-06-17,3519.800048828125,3528.75,3456.0,3466.550048828125,3402.858642578125,69183
2019-06-18,3460.550048828125,3529.0,3460.550048828125,3508.14990234375,3443.694091796875,72785
2019-06-19,3530.0,3547.64990234375,3500.699951171875,3524.699951171875,3459.940185546875,43235
2019-06-20,3524.0,3590.699951171875,3508.35009765625,3582.449951171875,3516.62890625,64282
2019-06-21,3587.0,3596.0,3553.14990234375,3566.35009765625,3500.824951171875,36857
