Date,Open,High,Low,Close,Adj Close,No. of Shares
2019-01-01,521.0,523.75,518.9000244140625,523.0,505.2075500488281,51620
2019-01-02,524.0,524.0,513.6500244140625,515.6500244140625,498.1076354980469,45277
2019-01-03,513.2000122070312,520.0,511.8999938964844,512.9000244140625,495.4512023925781,59246
2019-01-04,512.0,515.2999877929688,508.25,513.4000244140625,495.9342346191406,38568
2019-01-07,515.0,517.5999755859375,511.0,513.6500244140625,496.1756896972656,37635
2019-01-08,515.0,516.1500244140625,511.8500061035156,513.3499755859375,495.8858642578125,35730
2019-01-09,516.0,516.8499755859375,507.8999938964844,510.79998779296875,493.4226379394531,86756
2019-01-10,509.8999938964844,514.5999755859375,509.8999938964844,513.5499877929688,496.0790710449219,32385
2019-01-11,512.4500122070312,519.1500244140625,509.5,511.04998779296875,493.6641540527344,67248
2019-01-14,514.9500122070312,514.9500122070312,506.0,512.25,494.8233337402344,53285
2019-01-15,513.0999755859375,516.2000122070312,509.79998779296875,514.75,497.2382507324219,93322
2019-01-16,517.0,517.0,509.75,512.2000122070312,494.7750244140625,56591
2019-01-17,516.7999877929688,516.7999877929688,506.54998779296875,509.75,492.40838623046875,52596
2019-01-18,512.5,512.9000244140625,507.5,509.70001220703125,492.3600769042969,115493
2019-01-21,514.0,514.0,509.45001220703125,510.79998779296875,493.4226379394531,136907
2019-01-22,510.3999938964844,511.6499938964844,503.1499938964844,506.95001220703125,489.7036437988281,93714
2019-01-23,508.5,512.0999755859375,507.0,509.6000061035156,492.2634582519531,36057
2019-01-24,510.0,510.75,496.25,500.6499938964844,483.617919921875,147275
2019-01-25,503.8999938964844,510.0,501.8500061035156,506.8999938964844,489.65533447265625,133916
2019-01-28,510.0,510.0,489.3999938964844,491.95001220703125,475.21392822265625,152879
2019-01-29,490.0,508.45001220703125,483.75,504.45001220703125,487.2886962890625,98614
2019-01-30,504.95001220703125,506.75,498.0,505.79998779296875,488.59271240234375,49778
2019-01-31,505.79998779296875,519.5499877929688,504.79998779296875,516.25,498.6872253417969,67888
2019-02-01,519.0,522.3499755859375,512.7000122070312,520.5499877929688,502.8409423828125,167086
2019-02-04,522.0,522.0,506.6499938964844,508.70001220703125,491.39410400390625,57436
2019-02-05,508.8999938964844,514.0,501.25,508.8500061035156,491.53900146484375,155799
