Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2018,13.60,13.64,13.11,13.24,13.403843456305232150,7129,45,95556.00,6044,84.78,0.53,-0.36
28-December-2018,12.80,13.64,12.80,13.56,13.386516461444415334,11451,61,153289.00,8461,73.89,0.84,0.76
27-December-2018,12.80,13.75,12.62,13.24,13.210501758667719474,27862,147,368071.00,23302,83.63,1.13,0.44
26-December-2018,12.08,12.89,12.08,12.88,12.642145840025698682,6226,23,78710.00,5070,81.43,0.81,0.80
24-December-2018,12.60,12.75,12.35,12.39,12.422315536892621475,1667,22,20708.00,1513,90.76,0.40,-0.21
21-December-2018,13.30,13.39,12.44,12.54,12.789729494184292561,29833,76,381556.00,22146,74.23,0.95,-0.76
20-December-2018,13.41,13.49,12.70,13.18,12.898850332243434236,28443,55,366882.00,22531,79.21,0.79,-0.23
19-December-2018,13.49,13.49,13.00,13.13,13.152502312198129688,9731,44,127987.00,7692,79.05,0.49,-0.36
18-December-2018,13.25,14.20,12.99,13.18,13.228759654702407996,4402,27,58233.00,4066,92.37,1.21,-0.07
17-December-2018,12.95,13.50,12.95,13.23,13.232038318254390633,5637,29,74589.00,4628,82.10,0.55,0.28
14-December-2018,13.30,13.50,13.00,13.39,13.149715623954499832,5978,27,78609.00,5719,95.67,0.50,0.09
13-December-2018,13.06,13.51,13.06,13.32,13.366588875923765071,5142,34,68731.00,4844,94.20,0.45,0.26
12-December-2018,12.24,13.62,12.24,13.42,13.193832473565708097,35087,108,462932.00,29160,83.11,1.38,1.18
11-December-2018,12.45,12.90,12.07,12.39,12.363101903695408734,3572,34,44161.00,2964,82.98,0.83,-0.06
10-December-2018,12.35,12.85,12.35,12.45,12.468632033075678590,5563,22,69363.00,5098,91.64,0.50,0.10
7-December-2018,12.50,13.29,12.45,12.74,12.886884165430878233,12138,43,156421.00,9958,82.04,0.84,0.24
6-December-2018,12.33,12.89,12.20,12.33,12.545251811930867868,5381,17,67506.00,3561,66.18,0.69,0.00
5-December-2018,13.75,13.75,12.54,12.64,12.744452049585519811,65745,81,837884.00,62994,95.82,1.21,-1.11
4-December-2018,13.10,13.50,13.05,13.15,13.174531386224934612,18352,113,241779.00,13818,75.29,0.45,0.05
3-December-2018,12.96,13.35,12.86,13.28,13.130007222623479082,17999,110,236327.00,12462,69.24,0.49,0.32
30-November-2018,12.33,12.95,12.27,12.95,12.844306591566448470,26276,50,337497.00,23197,88.28,0.68,0.62
29-November-2018,12.27,12.50,12.27,12.34,12.358450233800935203,7485,18,92503.00,7485,100.00,0.23,0.07
28-November-2018,13.00,13.38,12.27,12.38,12.454561086750924254,58155,79,724295.00,46035,79.16,1.11,-0.62
27-November-2018,12.59,13.00,12.59,12.91,12.892861961948454999,7411,26,95549.00,7311,98.65,0.41,0.32
26-November-2018,12.98,13.15,12.72,12.84,12.855106841014192313,50168,45,644915.00,49227,98.12,0.43,-0.14
22-November-2018,12.60,13.35,12.60,12.75,12.794491091542084783,9766,44,124951.00,9666,98.98,0.75,0.15
21-November-2018,13.50,13.50,12.90,13.14,13.085554348734230094,23938,46,313242.00,20683,86.40,0.60,-0.36
20-November-2018,13.53,13.88,13.31,13.48,13.609003726101032313,32742,125,445586.00,32542,99.39,0.57,-0.05
19-November-2018,13.26,13.98,13.00,13.75,13.520836834145521761,83314,109,1126475.00,77208,92.67,0.98,0.49
16-November-2018,13.06,13.76,13.06,13.62,13.645492009247160518,9949,51,135759.00,8653,86.97,0.70,0.56
15-November-2018,13.31,13.79,13.11,13.62,13.517217898832684824,10280,62,138957.00,7872,76.58,0.68,0.31
14-November-2018,13.58,13.70,13.51,13.67,13.666443338437978560,41792,146,571148.00,39370,94.20,0.19,0.09
13-November-2018,12.50,13.18,12.31,13.05,12.846752019247293349,23276,99,299021.00,19595,84.19,0.87,0.55
12-November-2018,12.50,13.00,12.22,12.57,12.524022123009262344,15007,67,187948.00,9809,65.36,0.78,0.07
9-November-2018,11.65,12.72,11.65,12.50,12.653449834287435974,16595,57,209984.00,14984,90.29,1.07,0.85
7-November-2018,12.12,12.12,11.90,12.12,12.105890944498539435,8216,28,99462.00,7191,87.52,0.22,0.00
6-November-2018,11.90,12.05,11.50,11.55,11.645588678109003312,6642,41,77350.00,6397,96.31,0.55,-0.35
5-November-2018,11.45,11.99,11.44,11.91,11.814425337127304218,8083,35,95496.00,6029,74.59,0.55,0.46
2-November-2018,11.21,11.79,11.21,11.79,11.734608013745401678,45397,136,532716.00,42429,93.46,0.58,0.58
1-November-2018,11.10,11.46,11.10,11.23,11.379290939786156443,24878,62,283094.00,24465,98.34,0.36,0.13
31-October-2018,10.50,10.92,10.50,10.92,10.852393066319588238,16903,66,183438.00,16603,98.23,0.42,0.42
30-October-2018,10.05,10.44,10.05,10.40,10.330988522769344687,8103,31,83712.00,7657,94.50,0.39,0.35
29-October-2018,9.96,9.99,9.57,9.99,9.932965186074429771,20825,59,206854.00,19925,95.68,0.42,0.03
26-October-2018,9.11,9.77,9.04,9.52,9.079805444372869333,138161,166,1254475.00,79255,57.36,0.73,0.41
25-October-2018,9.89,10.00,9.49,9.51,9.524337714933858475,143707,131,1368714.00,136017,94.65,0.51,-0.38
24-October-2018,10.90,10.94,9.95,9.98,10.087546662093891387,75811,200,764747.00,60910,80.34,0.99,-0.92
23-October-2018,11.18,11.18,10.45,10.47,10.481884394855106152,32265,64,338198.00,29815,92.41,0.73,-0.71
22-October-2018,11.10,11.80,11.00,11.00,11.081919675221110627,20691,71,229296.00,19380,93.66,0.80,-0.10
19-October-2018,10.80,11.78,10.79,11.57,11.469205350118017309,31775,66,364434.00,23811,74.94,0.99,0.77
17-October-2018,11.42,11.95,11.08,11.23,11.428707034372501998,20016,56,228757.00,16724,83.55,0.87,-0.19
16-October-2018,11.30,11.75,11.00,11.66,11.510406397195749808,18258,74,210157.00,15399,84.34,0.75,0.36
15-October-2018,11.00,11.48,11.00,11.26,11.227492516693529818,4343,24,48761.00,4275,98.43,0.48,0.26
12-October-2018,10.87,11.48,10.87,11.15,11.222491197183098591,22720,54,254975.00,19106,84.09,0.61,0.28
11-October-2018,11.00,11.39,10.76,11.14,11.015828350334154062,39802,56,438452.00,36291,91.18,0.63,0.14
10-October-2018,11.90,11.90,11.00,11.24,11.323038548752834467,22050,71,249673.00,18230,82.68,0.90,-0.66
9-October-2018,11.55,11.85,11.30,11.36,11.498070145997650612,5959,29,68517.00,4429,74.32,0.55,-0.19
