Date,Open,High,Low,Close,No. of Shares
2020-12-31,1818.4534,1833.2673,1805.0070,1809.2461,465795
2020-12-30,1816.4479,1829.4840,1801.2694,1819.1371,224277
2020-12-29,1829.9398,1834.9082,1807.3773,1813.3939,250017
2020-12-28,1826.9771,1845.9388,1819.2283,1826.2022,335518
2020-12-24,1778.3877,1822.0088,1774.9692,1817.6786,289379
2020-12-23,1761.9786,1778.7524,1750.3099,1772.0064,299743
2020-12-22,1768.5423,1785.3161,1720.9101,1765.4427,972241
2020-12-21,1832.3556,1843.2951,1692.0118,1768.3143,1499610
2020-12-18,1807.7419,1827.7975,1791.3327,1816.1744,218330
2020-12-17,1805.8275,1827.7975,1802.3633,1809.6107,238834
2020-12-16,1812.3000,1818.6813,1792.0165,1801.4061,272748
2020-12-15,1816.7669,1816.7669,1788.1421,1799.5373,211535
2020-12-14,1835.0905,1837.1416,1811.4340,1815.1716,232903
2020-12-11,1833.4496,1857.6987,1799.9020,1828.3445,689028
2020-12-10,1841.4718,1849.1294,1824.1055,1829.8031,270177
2020-12-09,1835.0905,1854.0522,1823.2394,1847.5341,917242
2020-12-08,1789.5095,1836.1844,1777.7952,1817.5418,683240
2020-12-07,1770.3655,1791.3327,1770.3655,1784.9970,293809
2020-12-04,1789.5095,1793.9309,1768.5423,1774.5134,250336
2020-12-03,1795.8908,1806.0098,1784.9970,1789.9197,1489127
2020-12-02,1789.4639,1789.4639,1763.9842,1784.5868,220138
2020-12-01,1764.2121,1792.1532,1760.3377,1781.5784,593339
2020-11-27,1769.4539,1782.9914,1751.7229,1759.2893,523191
2020-11-26,1777.7040,1791.1960,1759.7907,1781.1226,450855
2020-11-25,1805.0070,1815.9465,1770.6390,1775.6073,914063
2020-11-24,1788.5979,1799.1727,1760.5200,1791.4239,750504
2020-11-23,1758.5144,1795.8908,1756.6912,1778.3877,598632
2020-11-20,1803.0015,1808.7447,1727.1547,1731.3482,863183
2020-11-19,1810.8414,1832.3556,1794.0676,1798.3066,802733
2020-11-18,1820.9148,1829.3017,1787.6863,1811.5707,427982
2020-11-17,1899.8155,1899.8155,1809.5651,1816.7669,643296
2020-11-13,1814.1232,1856.6503,1805.9187,1819.6841,1825121
2020-11-12,1809.5651,1830.8515,1791.3327,1804.8703,711464
2020-11-11,1907.1085,1910.1624,1804.0954,1820.4134,811189
2020-11-10,1891.6109,1905.2852,1861.3451,1900.2713,1068647
2020-11-09,1876.7515,1887.0528,1858.7014,1869.0939,843691
2020-11-06,1812.3000,1859.7042,1802.8647,1849.6764,1886873
2020-11-05,1776.7468,1786.7746,1760.7023,1782.3077,954587
2020-11-04,1677.3803,1758.3777,1677.3803,1744.3388,1065630
2020-11-03,1721.1380,1740.7379,1672.8222,1685.9951,1164099
2020-11-02,1853.7787,1853.7787,1695.6127,1711.3837,1444243
2020-10-30,1855.1461,1882.1757,1843.2951,1872.7860,354434
2020-10-29,1822.6925,1861.8010,1814.8070,1847.4429,384785
2020-10-28,1863.3507,1876.0222,1829.5296,1832.9938,1519047
2020-10-27,1852.4113,1877.9366,1828.2989,1854.4168,476055
2020-10-26,1915.3130,1919.8711,1840.0588,1849.4029,560855
2020-10-23,1922.6060,1946.1258,1910.4359,1925.8422,618540
2020-10-22,1935.3687,1944.5304,1906.6526,1920.8739,301966
2020-10-21,1979.2176,1997.3588,1913.2619,1935.5966,534557
2020-10-20,1990.7040,1999.8202,1961.9880,1964.9963,364138
2020-10-19,1998.2704,2031.4534,1965.4521,1983.5022,352226
