Date,company,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
31-Dec-18, BAJAJ ELECTRICALS LTD,502.1,512,500.75,503.7,24238,759
28-Dec-18, BAJAJ ELECTRICALS LTD,500.1,504.95,493.65,496.2,35443,548
27-Dec-18, BAJAJ ELECTRICALS LTD,515.9,516,494,497.3,34709,1094
26-Dec-18, BAJAJ ELECTRICALS LTD,500.5,500.5,487.5,494.25,10673,298
24-Dec-18, BAJAJ ELECTRICALS LTD,506.4,511.1,497.5,500.75,20490,664
21-Dec-18, BAJAJ ELECTRICALS LTD,523.5,525.4,502.05,505.65,22202,726
20-Dec-18, BAJAJ ELECTRICALS LTD,508,522.5,508,515.85,26218,794
19-Dec-18, BAJAJ ELECTRICALS LTD,512.45,525.4,508.05,511,29351,970
18-Dec-18, BAJAJ ELECTRICALS LTD,506.15,515,503,508.2,8982,350
17-Dec-18, BAJAJ ELECTRICALS LTD,513.65,517.9,504.9,507.8,9799,440
14-Dec-18, BAJAJ ELECTRICALS LTD,504,520,489.2,513.35,40328,1183
13-Dec-18, BAJAJ ELECTRICALS LTD,477,506,477,502.7,38539,1232
12-Dec-18, BAJAJ ELECTRICALS LTD,472.2,483.9,471.25,476.75,18426,638
11-Dec-18, BAJAJ ELECTRICALS LTD,455,473.05,450,471.05,9727,376
10-Dec-18, BAJAJ ELECTRICALS LTD,469,471.7,462.15,464.25,22883,420
07-Dec-18, BAJAJ ELECTRICALS LTD,470.9,480.7,469,470.2,17406,660
06-Dec-18, BAJAJ ELECTRICALS LTD,469.45,477.95,459.2,470.85,7388,342
05-Dec-18, BAJAJ ELECTRICALS LTD,473,475.5,471,473.15,10593,488
04-Dec-18, BAJAJ ELECTRICALS LTD,475.4,478.2,474.55,476.7,10944,401
03-Dec-18, BAJAJ ELECTRICALS LTD,476.2,478,472,474.45,10463,389
30-Nov-18, BAJAJ ELECTRICALS LTD,471.8,483.75,468.9,471.9,21052,910
29-Nov-18, BAJAJ ELECTRICALS LTD,470.95,477.8,469.65,472.25,16843,552
28-Nov-18, BAJAJ ELECTRICALS LTD,461.35,473,455.7,471,27896,787
27-Nov-18, BAJAJ ELECTRICALS LTD,458.65,460.8,451,455.6,12365,452
26-Nov-18, BAJAJ ELECTRICALS LTD,471,471,459.05,462.05,13493,449
22-Nov-18, BAJAJ ELECTRICALS LTD,475,476.5,466,469.3,14326,559
21-Nov-18, BAJAJ ELECTRICALS LTD,481.8,483.7,472.5,476.05,14480,602
20-Nov-18, BAJAJ ELECTRICALS LTD,487.75,490,480,483.65,20349,725
19-Nov-18, BAJAJ ELECTRICALS LTD,506,523.65,483.25,487.75,91370,2894
16-Nov-18, BAJAJ ELECTRICALS LTD,495.15,514.35,492,506.6,21225,788
15-Nov-18, BAJAJ ELECTRICALS LTD,500.5,501.2,492.5,492.8,532661,527
14-Nov-18, BAJAJ ELECTRICALS LTD,502.1,507.25,498,500.5,10970,449
13-Nov-18, BAJAJ ELECTRICALS LTD,494,505,492.05,501.95,8560,458
12-Nov-18, BAJAJ ELECTRICALS LTD,514,514,498,499.25,11838,415
09-Nov-18, BAJAJ ELECTRICALS LTD,500.15,509,500,503.55,13008,486
07-Nov-18, BAJAJ ELECTRICALS LTD,500,506.3,500,502.8,2269,122
06-Nov-18, BAJAJ ELECTRICALS LTD,505.05,516,496.35,500.45,15668,638
05-Nov-18, BAJAJ ELECTRICALS LTD,500.05,509.8,500,504.2,17171,561
02-Nov-18, BAJAJ ELECTRICALS LTD,527,527,497.75,500.5,55535,1655
01-Nov-18, BAJAJ ELECTRICALS LTD,493.1,515.05,493,504.4,72050,2001
31-Oct-18, BAJAJ ELECTRICALS LTD,478,490.4,475.4,486.5,31239,1040
30-Oct-18, BAJAJ ELECTRICALS LTD,470.8,476.9,463,473.1,12141,458
29-Oct-18, BAJAJ ELECTRICALS LTD,485,485,454,464.9,19006,940
26-Oct-18, BAJAJ ELECTRICALS LTD,482.65,482.75,471,474.4,7044,355
25-Oct-18, BAJAJ ELECTRICALS LTD,492.8,492.8,480,484,8968,423
24-Oct-18, BAJAJ ELECTRICALS LTD,497.95,497.95,490,493.9,9682,327
23-Oct-18, BAJAJ ELECTRICALS LTD,488,502.1,487,490.05,8067,326
22-Oct-18, BAJAJ ELECTRICALS LTD,505,507.35,489,492.9,4364,250
19-Oct-18, BAJAJ ELECTRICALS LTD,514.9,518,498.6,502.9,7835,495
17-Oct-18, BAJAJ ELECTRICALS LTD,540,542.6,510.05,514.9,21173,749
16-Oct-18, BAJAJ ELECTRICALS LTD,502.8,535,501.3,530.65,23366,975
15-Oct-18, BAJAJ ELECTRICALS LTD,500,509.15,499.2,502.55,6391,299
12-Oct-18, BAJAJ ELECTRICALS LTD,500,508,496,497.75,17404,595
11-Oct-18, BAJAJ ELECTRICALS LTD,502.9,502.9,487.65,492.55,10690,503
10-Oct-18, BAJAJ ELECTRICALS LTD,502,517.65,501,508.9,16172,667
09-Oct-18, BAJAJ ELECTRICALS LTD,478.55,498,477.05,494.35,29045,882
08-Oct-18, BAJAJ ELECTRICALS LTD,489,489,473,476.65,45888,1319
05-Oct-18, BAJAJ ELECTRICALS LTD,495,495,471.55,489.7,20415,853
04-Oct-18, BAJAJ ELECTRICALS LTD,492,500,488.5,495.55,6789,320
03-Oct-18, BAJAJ ELECTRICALS LTD,502,509.5,492,496.5,10665,490
01-Oct-18, BAJAJ ELECTRICALS LTD,500,514.65,480,502,27887,1524
28-Sep-18, BAJAJ ELECTRICALS LTD,493,516.5,483.85,499.95,61608,3506
27-Sep-18, BAJAJ ELECTRICALS LTD,495.05,502.5,489,492.35,32152,1159
26-Sep-18, BAJAJ ELECTRICALS LTD,509.55,509.7,480.2,492.8,20196,791
25-Sep-18, BAJAJ ELECTRICALS LTD,511.25,513,484.35,505.25,33436,927
24-Sep-18, BAJAJ ELECTRICALS LTD,511,531.1,498.9,519.05,20662,636
