Company,Open,High,Low,Close,No. of Shares
TCS.BO,2879.0,2939.89990234375,2877.300048828125,2928.199951171875,152353
TCS.BO,3244.35009765625,3273.85009765625,3210.10009765625,3233.60009765625,162323
TCS.BO,3104.0,3165.0,3045.10009765625,3140.699951171875,158508
TCS.BO,3206.0,3206.0,3131.0,3139.949951171875,104489
TCS.BO,2930.0,2964.949951171875,2900.0,2926.199951171875,210795
TCS.BO,3064.85009765625,3139.89990234375,3063.0,3108.699951171875,294600
TCS.BO,3155.0,3205.0,3131.64990234375,3177.60009765625,192113
TCS.BO,3228.949951171875,3246.25,3182.0,3193.300048828125,106603
TCS.BO,3034.699951171875,3057.0,3004.800048828125,3037.0,110455
TCS.BO,3095.0,3123.0,3078.699951171875,3089.35009765625,71234
TCS.BO,3170.0,3170.0,3132.0,3153.39990234375,39525
TCS.BO,3300.0,3300.0,3251.550048828125,3262.449951171875,567462
TCS.BO,3348.699951171875,3366.0,3327.0,3339.60009765625,52691
TCS.BO,3215.0,3215.60009765625,3175.449951171875,3187.89990234375,51763
TCS.BO,3196.0,3203.300048828125,3133.199951171875,3197.5,97773
TCS.BO,3350.0,3359.85009765625,3327.300048828125,3340.550048828125,67042
TCS.BO,3668.89990234375,3687.10009765625,3649.0,3671.050048828125,94445
TCS.BO,3799.0,3809.699951171875,3765.14990234375,3791.75,38234
TCS.BO,3889.0,3944.5,3856.0,3871.300048828125,49192
TCS.BO,3935.0,3990.0,3898.949951171875,3935.300048828125,97634
TCS.BO,3500.050048828125,3515.0,3450.0,3492.5,121831
TCS.BO,3504.0,3534.89990234375,3497.60009765625,3504.5,83427
TCS.BO,3478.0,3493.550048828125,3431.0,3443.550048828125,47809
TCS.BO,3625.0,3645.0,3602.60009765625,3626.5,263196
TCS.BO,3612.0,3636.0,3605.39990234375,3630.0,68470
TCS.BO,3865.0,3870.10009765625,3811.0,3861.050048828125,54550
TCS.BO,4018.0,4018.0,3911.75,3915.800048828125,138761
TCS.BO,3845.0,3882.949951171875,3815.0,3825.0,114933
TCS.BO,3769.0,3815.949951171875,3756.0,3794.800048828125,340554
TCS.BO,3469.0,3547.449951171875,3351.0,3485.300048828125,244599
TCS.BO,3630.10009765625,3712.0,3625.5,3700.949951171875,50288
TCS.BO,3792.0,3835.5,3775.550048828125,3814.050048828125,127222
TCS.BO,3589.0,3643.0,3568.5,3629.949951171875,42124
TCS.BO,3393.0,3455.5,3348.75,3446.10009765625,185666
TCS.BO,3315.0,3338.0,3267.050048828125,3320.949951171875,88129
TCS.BO,3421.0,3453.10009765625,3378.0,3430.25,34827
TCS.BO,3094.5,3138.60009765625,3069.699951171875,3113.199951171875,94264
TCS.BO,3315.0,3316.60009765625,3225.800048828125,3234.64990234375,113323
TCS.BO,3023.39990234375,3076.449951171875,3015.0,3060.35009765625,1742719
