Date,Company,Open,High,Low,Close,No. of Shares
2021-01-01,TCS.BO,2879.0,2939.89990234375,2877.300048828125,2928.199951171875,152353
2021-01-04,TCS.BO,2950.0,3050.0,2942.0,3039.25,208783
2021-01-05,TCS.BO,3044.10009765625,3112.75,3040.0,3092.300048828125,188379
2021-01-06,TCS.BO,3102.14990234375,3114.449951171875,3037.800048828125,3052.949951171875,118089
2021-01-07,TCS.BO,3075.0,3079.800048828125,3001.0,3032.699951171875,160557
2021-01-08,TCS.BO,3085.199951171875,3127.550048828125,3061.800048828125,3120.35009765625,210057
2021-01-11,TCS.BO,3215.0,3224.0,3147.449951171875,3175.050048828125,253600
2021-01-12,TCS.BO,3179.949951171875,3208.10009765625,3150.949951171875,3172.85009765625,132445
2021-01-13,TCS.BO,3179.949951171875,3179.949951171875,3127.10009765625,3158.800048828125,653157
2021-01-14,TCS.BO,3164.0,3267.0,3120.0,3250.14990234375,531550
2021-01-15,TCS.BO,3244.35009765625,3273.85009765625,3210.10009765625,3233.60009765625,162323
2021-01-18,TCS.BO,3249.0,3255.5,3186.60009765625,3220.800048828125,167704
2021-01-19,TCS.BO,3229.0,3279.0,3229.0,3265.14990234375,94206
2021-01-20,TCS.BO,3265.0,3327.0,3265.0,3308.199951171875,1574806
2021-01-21,TCS.BO,3308.0,3310.0,3262.0,3274.800048828125,85349
2021-01-22,TCS.BO,3249.10009765625,3323.89990234375,3249.050048828125,3303.39990234375,316515
2021-01-25,TCS.BO,3295.0,3345.25,3277.699951171875,3290.199951171875,107916
2021-01-27,TCS.BO,3300.0,3305.300048828125,3227.14990234375,3261.050048828125,586936
2021-01-28,TCS.BO,3240.0,3272.699951171875,3183.949951171875,3199.449951171875,555279
2021-01-29,TCS.BO,3206.0,3215.0,3100.5,3112.89990234375,96018
2021-02-01,TCS.BO,3104.0,3165.0,3045.10009765625,3140.699951171875,158508
2021-02-02,TCS.BO,3161.0,3224.550048828125,3154.5,3203.0,115905
2021-02-03,TCS.BO,3207.0,3235.14990234375,3164.60009765625,3199.10009765625,101798
2021-02-04,TCS.BO,3206.0,3233.949951171875,3177.0,3187.300048828125,434127
2021-02-05,TCS.BO,3191.10009765625,3200.0,3129.5,3158.050048828125,69573
2021-02-08,TCS.BO,3185.199951171875,3224.949951171875,3155.5,3215.14990234375,132081
2021-02-09,TCS.BO,3200.0,3245.14990234375,3165.050048828125,3175.800048828125,123700
2021-02-10,TCS.BO,3177.0,3219.300048828125,3158.949951171875,3210.949951171875,61444
2021-02-11,TCS.BO,3223.0,3223.0,3186.0,3205.85009765625,38475
2021-02-12,TCS.BO,3197.0,3245.800048828125,3183.39990234375,3191.14990234375,64320
2021-02-15,TCS.BO,3206.0,3206.0,3131.0,3139.949951171875,104489
2021-02-16,TCS.BO,3158.89990234375,3166.25,3100.25,3109.300048828125,136791
2021-02-17,TCS.BO,3109.0,3131.949951171875,3047.0,3073.5,140215
2021-02-18,TCS.BO,3073.0,3098.75,3032.0,3057.550048828125,175502
2021-02-19,TCS.BO,3057.550048828125,3085.85009765625,3017.550048828125,3072.10009765625,129152
2021-02-22,TCS.BO,3090.0,3090.0,2945.5,2958.75,233886
2021-02-23,TCS.BO,2971.60009765625,3027.89990234375,2970.0,2980.0,140264
2021-02-24,TCS.BO,2980.199951171875,3002.25,2701.0,2951.39990234375,720041
2021-02-25,TCS.BO,2980.0,3029.449951171875,2969.10009765625,2992.89990234375,497914
2021-02-26,TCS.BO,2968.5,2971.89990234375,2881.35009765625,2896.050048828125,202274
2021-03-01,TCS.BO,2930.0,2964.949951171875,2900.0,2926.199951171875,210795
2021-03-02,TCS.BO,2970.0,3025.39990234375,2946.14990234375,3010.550048828125,168724
2021-03-03,TCS.BO,3030.0,3063.449951171875,2996.5,3058.64990234375,206125
2021-03-04,TCS.BO,3030.0,3081.550048828125,3019.89990234375,3047.699951171875,371283
2021-03-05,TCS.BO,3020.0,3063.449951171875,2997.35009765625,3007.0,63785
2021-03-08,TCS.BO,3039.0,3039.0,2996.0,3007.199951171875,39194
2021-03-09,TCS.BO,3008.050048828125,3066.89990234375,2993.0,3049.949951171875,85833
2021-03-10,TCS.BO,3080.199951171875,3092.0,3060.10009765625,3071.949951171875,83120
2021-03-12,TCS.BO,3075.0,3115.64990234375,3042.050048828125,3056.89990234375,133299
2021-03-15,TCS.BO,3054.0,3098.89990234375,3043.0,3066.35009765625,53492
2021-03-16,TCS.BO,3064.85009765625,3139.89990234375,3063.0,3108.699951171875,294600
2021-03-17,TCS.BO,3108.0,3156.75,3086.0,3112.699951171875,263394
2021-03-18,TCS.BO,3122.0,3145.0,2986.300048828125,3036.800048828125,94103
2021-03-19,TCS.BO,3032.0,3098.0,3004.449951171875,3063.25,202074
2021-03-22,TCS.BO,3060.0,3139.0,3018.050048828125,3129.60009765625,136270
2021-03-23,TCS.BO,3139.75,3168.5,3124.0,3142.050048828125,64888
2021-03-24,TCS.BO,3125.0,3151.699951171875,3111.5,3120.949951171875,49838
2021-03-25,TCS.BO,3120.949951171875,3129.699951171875,3051.0,3068.050048828125,50991
2021-03-26,TCS.BO,3083.0,3118.0,3044.0,3068.14990234375,112808
2021-03-30,TCS.BO,3080.0,3188.0,3059.85009765625,3159.949951171875,216943
2021-03-31,TCS.BO,3155.0,3205.0,3131.64990234375,3177.60009765625,192113
2021-04-01,TCS.BO,3190.0,3215.699951171875,3146.0,3165.89990234375,105274
2021-04-05,TCS.BO,3171.0,3262.550048828125,3151.25,3239.300048828125,1005721
2021-04-06,TCS.BO,3278.0,3278.0,3229.89990234375,3263.85009765625,105514
2021-04-07,TCS.BO,3262.0,3277.949951171875,3235.10009765625,3270.75,68444
2021-04-08,TCS.BO,3267.35009765625,3334.85009765625,3267.35009765625,3316.5,73583
2021-04-09,TCS.BO,3350.0,3358.800048828125,3308.75,3322.199951171875,98999
2021-04-12,TCS.BO,3330.0,3343.89990234375,3217.75,3241.449951171875,149202
2021-04-13,TCS.BO,3230.0,3230.0,3074.550048828125,3105.0,247729
2021-04-15,TCS.BO,3145.0,3240.550048828125,3086.199951171875,3218.949951171875,673685
2021-04-16,TCS.BO,3228.949951171875,3246.25,3182.0,3193.300048828125,106603
2021-04-19,TCS.BO,3193.300048828125,3193.300048828125,3135.199951171875,3163.10009765625,56293
2021-04-20,TCS.BO,3215.0,3220.0,3127.0,3144.10009765625,108317
2021-04-22,TCS.BO,3146.14990234375,3149.699951171875,3105.5,3119.10009765625,199595
2021-04-23,TCS.BO,3105.0,3119.75,3092.0,3109.800048828125,67236
2021-04-26,TCS.BO,3109.800048828125,3151.949951171875,3088.10009765625,3101.10009765625,96633
2021-04-27,TCS.BO,3103.0,3135.10009765625,3103.0,3131.60009765625,43362
2021-04-28,TCS.BO,3143.0,3150.5,3112.0,3123.800048828125,39238
2021-04-29,TCS.BO,3142.0,3156.300048828125,3105.39990234375,3113.199951171875,62825
2021-04-30,TCS.BO,3111.0,3132.699951171875,3021.0,3038.39990234375,69616
2021-05-03,TCS.BO,3034.699951171875,3057.0,3004.800048828125,3037.0,110455
2021-05-04,TCS.BO,3060.0,3090.0,3035.199951171875,3048.949951171875,71115
2021-05-05,TCS.BO,3077.800048828125,3100.0,3053.699951171875,3096.35009765625,40810
2021-05-06,TCS.BO,3108.0,3134.25,3074.0,3111.300048828125,197177
2021-05-07,TCS.BO,3130.0,3160.0,3112.14990234375,3132.0,90326
2021-05-10,TCS.BO,3140.0,3164.0,3126.0,3145.14990234375,36150
